year,CO2 emission intensity (kg/yr),CH4 emission intensity (kg/yr),CH4 fossil emission intensity (kg/yr),N2O emission intensity (kg/yr),atmospheric CO2 (in kg),atmospheric CH4 (in kg),atmospheric CH4 fossil (in kg),atmospheric N2O (in kg),CO2 irf (in W/m^2),CH4 irf (in W/m^2),CH4 fossil irf (in W/m^2),N2O irf (in W/m^2),CO2 crf (in W/m^2),CH4 crf (in W/m^2),CH4 fossil crf (in W/m^2),N2O crf (in W/m^2)
2077.0833333332857,0.0,0.0,0.0,2.938673792027844e-06,0.0,0.0011526185474263488,0.003831157139772957,4.822739269671612e-07,0.0,2.4280797198952186e-16,8.182240013236409e-16,1.7212031720351587e-19,0.0,2.3110735927084285e-14,1.6249240891252338e-14,1.265011624083037e-20
2077.166666666619,0.0,0.0,0.0,5.34735635496968e-06,0.0,0.0011448984253641615,0.0038054964380390584,9.27554926318769e-07,0.0,2.411816688334458e-16,8.128496901473606e-16,3.3103810762828406e-19,0.0,2.3130902086219626e-14,1.6317199478978027e-14,2.6988537967999986e-20
2077.2499999999527,0.0,0.0,0.0,9.258983716172284e-06,0.0,0.0011372300118961038,0.003780007609081309,1.6984983106598026e-06,0.0,2.395662584908709e-16,8.075112360993912e-16,6.061826104489107e-19,0.0,2.3150933174467558e-14,1.6384711720338982e-14,5.456554963087144e-20
2077.3333333332857,0.0,0.0,0.0,1.5323861211539097e-05,0.0,0.0011296129606832598,0.0037546895017132953,2.974317382997035e-06,0.0,2.379616680028377e-16,8.022084002839567e-16,1.0615138467981907e-18,0.0,2.317083009651917e-14,1.645178059334913e-14,1.050633761135865e-19
2077.4166666666188,0.0,0.0,0.0,2.433724260905195e-05,0.0,0.0011220469277064562,0.0037295409724591353,5.000373211021262e-06,0.0,2.363678248990584e-16,7.969409453839e-16,1.7845995296269605e-18,0.0,2.3190593751006033e-14,1.6518409056180996e-14,1.9349240908257506e-19
2077.4999999999523,0.0,0.0,0.0,3.7221697473893726e-05,0.0,0.001114531571250725,0.0037045608855018303,8.098738736246121e-06,0.0,2.3478465719464406e-16,7.917086356505162e-16,2.8903853231236376e-18,0.0,2.321022503054077e-14,1.6584600047296906e-14,3.421578373460142e-19
2077.5833333332857,0.0,0.0,0.0,5.499190643132878e-05,0.0,0.0011070665518898713,0.00367974811263197,1.267582188200115e-05,0.0,2.3321209338685298e-16,7.865112368934438e-16,4.5239154786277e-18,0.0,2.322972482175738e-14,1.6650356485579193e-14,5.829403573315232e-19
2077.6666666666188,0.0,0.0,0.0,7.870289054586307e-05,0.0,0.0010996515324711417,0.0036551015331967762,1.9225669194754582e-05,0.0,2.3165006245186165e-16,7.813485164706178e-16,6.8615118819731385e-18,0.0,2.324909400535127e-14,1.6715681270459672e-14,9.598035251697276e-19
2077.749999999952,0.0,0.0,0.0,0.00010938499092313692,0.0,0.0010922861780999975,0.0036306200340494883,2.8327848844475475e-05,0.0,2.3009849384155703e-16,7.762202432782815e-16,1.0110018510572253e-17,0.0,2.326833345611905e-14,1.678057728204824e-14,1.5313993288968728e-18
2077.8333333332853,0.0,0.0,0.0,0.00014797083892699846,0.0,0.0010849701561249905,0.00360630250949909,4.0639249267238715e-05,0.0,2.2855731748035e-16,7.711261877410578e-16,1.450387442418418e-17,0.0,2.3287444042998016e-14,1.684504738126064e-14,2.3736108204238763e-18
2077.9166666666188,0.0,0.0,0.0,0.00019522079455624577,0.0,0.0010777031361227374,0.003582147861260373,5.6879669985598395e-05,0.0,2.270264637620108e-16,7.660661218020816e-16,2.0299971225728578e-17,0.0,2.330642662910542e-14,1.6909094409945415e-14,3.581850914043753e-18
2077.999999999952,0.0,0.0,0.0,0.00025165371789249085,0.0,0.0010704847898829976,0.003558154998404329,7.781165330321086e-05,0.0,2.25505863546525e-16,7.610398189131882e-16,2.777045512889733e-17,0.0,2.3325282071777448e-14,1.6972721191010035e-14,5.272932787543543e-18
