Process Name,UUID,Qty,Unit
"market for diesel, burned in agricultural machinery | diesel, burned in agricultural machinery | EN15804, U",721f5959-5a92-4835-bdbb-1a72cf9c9a32,1,MJ
"market for lignite briquettes | lignite briquettes | EN15804, U",11a2b39c-0b11-4a05-9af7-04c72892a80b,1,MJ
"lignite briquettes production | lignite briquettes | EN15804, U",66230d44-a84c-4247-9c0d-494f67318552,1,MJ
"liquefied petroleum gas production, petroleum refinery operation | liquefied petroleum gas | EN15804, U",08bbd34a-fea6-4994-8e30-59de1408d1b7,1,kg
"synthetic fuel production, from coal, high temperature Fisher-Tropsch operations | liquefied petroleum gas | EN15804, U",204c632b-23e9-4222-81ca-82914564fbeb,1,kg
"market for liquefied petroleum gas | liquefied petroleum gas | EN15804, U",1ff92e6c-cb2f-4be9-a64d-bdec8558e528,1,kg
"market for liquefied petroleum gas | liquefied petroleum gas | EN15804, U",f21924ac-40b0-4c0d-94bd-ce4d22137eb2,1,kg
"petroleum refinery operation | liquefied petroleum gas | EN15804, U",c11e7c71-7805-403b-b95b-8a6540d2c4e2,1,kg
"market for liquefied petroleum gas | liquefied petroleum gas | EN15804, U",849d1f1b-8422-4a77-b581-fb1bb12f4c85,1,kg
"liquefied petroleum gas production, petroleum refinery operation | liquefied petroleum gas | EN15804, U",990bc54a-b28c-4fca-a057-f31ea3ed7683,1,kg
"liquefied petroleum gas, import from RoW | liquefied petroleum gas | EN15804, U",025eafed-8026-4d65-9a1c-bd6981c39d40,1,kg
"liquefied petroleum gas production, petroleum refinery operation | liquefied petroleum gas | EN15804, U",aa2b36a7-c526-4111-8a7f-a108e88ad2d5,1,kg
"liquefied petroleum gas production, petroleum refinery operation | liquefied petroleum gas | EN15804, U",237f540a-c96c-46c6-bf9c-f1b634fab6e2,1,kg
"market for liquefied petroleum gas | liquefied petroleum gas | EN15804, U",8b7fc352-3561-4330-92c0-5a96f638e290,1,kg
"market for liquefied petroleum gas | liquefied petroleum gas | EN15804, U",b1664c9e-8a8d-4233-8e2a-e7156a48713a,1,kg
